分类,词语A,词语B
水果,苹果,梨
水果,橙子,柚子
水果,橘子,砂糖橘
水果,桃子,油桃
水果,菠萝,芒果
水果,葡萄,提子
水果,草莓,树莓
水果,蓝莓,黑莓
水果,西瓜,哈密瓜
水果,香瓜,哈密瓜
水果,香蕉,芭蕉
水果,荔枝,龙眼
水果,榴莲,菠萝蜜
水果,柠檬,青柠
水果,樱桃,草莓
水果,李子,杏子
水果,枣子,椰枣
水果,石榴,百香果
水果,木瓜,芒果
水果,猕猴桃,百香果
蔬菜,黄瓜,丝瓜
蔬菜,冬瓜,南瓜
蔬菜,西葫芦,茄子
蔬菜,土豆,红薯
蔬菜,芋头,山药
蔬菜,白菜,生菜
蔬菜,菠菜,油麦菜
蔬菜,花菜,西兰花
蔬菜,香菜,芹菜
蔬菜,青椒,彩椒
蔬菜,韭菜,蒜苗
蔬菜,洋葱,大葱
蔬菜,香菇,口蘑
蔬菜,金针菇,蟹味菇
蔬菜,玉米,豌豆
蔬菜,萝卜,胡萝卜
蔬菜,莲藕,荸荠
蔬菜,豆芽,豆苗
蔬菜,海带,裙带菜
蔬菜,竹笋,茭白
主食,米饭,炒饭
主食,面条,米粉
主食,拉面,刀削面
主食,乌冬面,荞麦面
主食,饺子,馄饨
主食,包子,烧麦
主食,馒头,花卷
主食,油条,麻花
主食,煎饼,手抓饼
主食,披萨,馅饼
主食,寿司,饭团
主食,汉堡,三明治
主食,白粥,八宝粥
主食,年糕,糍粑
主食,汤圆,元宵
主食,粽子,饭团
主食,意大利面,通心粉
主食,河粉,肠粉
主食,春卷,蛋卷
主食,炒面,拌面
饮品,咖啡,奶茶
饮品,红茶,绿茶
饮品,乌龙茶,普洱茶
饮品,豆浆,牛奶
饮品,酸奶,乳酸菌饮料
饮品,可乐,汽水
饮品,果汁,果茶
饮品,柠檬水,蜂蜜水
饮品,矿泉水,纯净水
饮品,拿铁,卡布奇诺
饮品,美式咖啡,浓缩咖啡
饮品,热巧克力,可可奶
饮品,啤酒,果啤
饮品,白酒,米酒
饮品,红酒,葡萄汁
饮品,冰沙,奶昔
饮品,气泡水,苏打水
饮品,鲜榨橙汁,橙味汽水
饮品,椰汁,椰子水
饮品,奶盖茶,珍珠奶茶
零食甜品,薯片,薯条
零食甜品,爆米花,玉米片
零食甜品,饼干,曲奇
零食甜品,蛋糕,纸杯蛋糕
零食甜品,布丁,果冻
零食甜品,冰淇淋,雪糕
零食甜品,巧克力,糖果
零食甜品,棉花糖,牛轧糖
零食甜品,蛋挞,泡芙
零食甜品,甜甜圈,贝果
零食甜品,马卡龙,夹心饼干
零食甜品,瓜子,花生
零食甜品,核桃,碧根果
零食甜品,腰果,开心果
零食甜品,海苔,紫菜片
零食甜品,肉干,肉松
零食甜品,辣条,魔芋爽
零食甜品,山楂片,果丹皮
零食甜品,月饼,绿豆糕
零食甜品,糖葫芦,糖画
动物,老虎,狮子
动物,豹子,美洲豹
动物,狼,狐狸
动物,狗,狼
动物,猫,猞猁
动物,兔子,野兔
动物,松鼠,花栗鼠
动物,熊猫,小熊猫
动物,北极熊,棕熊
动物,骆驼,羊驼
动物,马,驴
动物,牛,牦牛
动物,绵羊,山羊
动物,鹿,麋鹿
动物,河马,犀牛
动物,大象,猛犸象
动物,海豚,鲸鱼
动物,海豹,海狮
动物,企鹅,海鸥
动物,鸭子,鹅
动物,天鹅,白鹭
动物,麻雀,燕子
动物,鹦鹉,八哥
动物,蜜蜂,黄蜂
动物,蝴蝶,飞蛾
动物,蚂蚁,白蚁
动物,蜈蚣,千足虫
动物,章鱼,乌贼
动物,螃蟹,龙虾
动物,鳄鱼,蜥蜴
日用品,牙刷,电动牙刷
日用品,牙膏,漱口水
日用品,洗发水,护发素
日用品,沐浴露,香皂
日用品,洗衣液,洗衣粉
日用品,纸巾,湿巾
日用品,毛巾,浴巾
日用品,梳子,发刷
日用品,镜子,化妆镜
日用品,口红,唇釉
日用品,粉底液,气垫
日用品,遮阳伞,雨伞
日用品,保温杯,马克杯
日用品,筷子,叉子
日用品,盘子,碟子
日用品,碗,杯子
日用品,拖把,扫帚
日用品,抹布,海绵
日用品,被子,毯子
日用品,枕头,靠垫
日用品,窗帘,百叶窗
日用品,台灯,落地灯
日用品,插线板,充电器
日用品,钥匙,门禁卡
日用品,手提袋,背包
日用品,钱包,卡包
日用品,行李箱,旅行包
日用品,衣架,晾衣夹
日用品,剪刀,美工刀
日用品,胶带,胶水
电子产品,手机,平板电脑
电子产品,笔记本电脑,台式电脑
电子产品,键盘,鼠标
电子产品,耳机,音箱
电子产品,智能手表,运动手环
电子产品,相机,摄像机
电子产品,投影仪,电视机
电子产品,电子书阅读器,平板电脑
电子产品,移动电源,充电头
电子产品,数据线,充电线
电子产品,路由器,调制解调器
电子产品,打印机,扫描仪
电子产品,吹风机,卷发棒
电子产品,电饭煲,电压力锅
电子产品,微波炉,烤箱
电子产品,空气炸锅,电烤箱
电子产品,电磁炉,燃气灶
电子产品,吸尘器,扫地机器人
电子产品,空调,电风扇
电子产品,加湿器,空气净化器
电子产品,冰箱,冰柜
电子产品,洗衣机,烘干机
电子产品,电动牙刷,冲牙器
电子产品,游戏机,掌机
电子产品,显示器,电视机
电子产品,麦克风,录音笔
电子产品,无人机,遥控飞机
电子产品,智能门锁,密码锁
电子产品,计算器,电子词典
电子产品,行车记录仪,运动相机
交通工具,自行车,电动车
交通工具,摩托车,踏板车
交通工具,公交车,校车
交通工具,地铁,轻轨
交通工具,高铁,动车
交通工具,火车,有轨电车
交通工具,出租车,网约车
交通工具,轮船,游艇
交通工具,飞机,直升机
交通工具,滑板,滑板车
交通工具,缆车,摩天轮
交通工具,救护车,消防车
交通工具,货车,皮卡
交通工具,房车,面包车
交通工具,帆船,皮划艇
场所,图书馆,书店
场所,电影院,剧院
场所,超市,便利店
场所,商场,百货店
场所,医院,诊所
场所,学校,培训班
场所,博物馆,美术馆
场所,动物园,海洋馆
场所,公园,植物园
场所,咖啡馆,茶馆
场所,餐厅,食堂
场所,酒店,民宿
场所,机场,火车站
场所,体育馆,健身房
场所,游泳馆,水上乐园
场所,理发店,美容院
场所,药店,诊所
场所,夜市,菜市场
场所,广场,步行街
场所,山顶,观景台
职业,医生,护士
职业,教师,教授
职业,律师,法官
职业,警察,保安
职业,消防员,救援队员
职业,厨师,烘焙师
职业,记者,编辑
职业,导演,编剧
职业,演员,配音演员
职业,歌手,音乐制作人
职业,摄影师,摄像师
职业,程序员,测试工程师
职业,设计师,插画师
职业,建筑师,室内设计师
职业,司机,飞行员
职业,快递员,外卖骑手
职业,导游,领队
职业,翻译,口译员
职业,会计,审计员
职业,理发师,化妆师
活动,跑步,竞走
活动,游泳,潜水
活动,滑雪,滑冰
活动,爬山,徒步
活动,露营,野餐
活动,钓鱼,赶海
活动,唱歌,朗诵
活动,跳舞,体操
活动,画画,涂鸦
活动,拍照,录像
活动,写日记,写博客
活动,阅读,听书
活动,下棋,打牌
活动,打篮球,打排球
活动,踢足球,踢毽子
活动,瑜伽,普拉提
